Player,Team,Match_Type,Venue,Runs_Scored,Balls_Faced,Strike_Rate,Wickets_Taken,Economy_Rate,Predicted_Winner,Prediction_Probability,Actual_Winner,Betting_Odds,Social_Platform,Likes,Shares,Comments,Sentiment_Score
Player 27,Team D,T20,Dubai,27,128,21.09,4,9.85,Team C,90.88,Team C,3.68,Twitter,4794,3811,1818,0.52
Player 29,Team B,ODI,Dubai,47,81,58.02,1,6.62,Team B,89.95,Team C,1.73,Facebook,22587,2330,275,0.77
Player 8,Team E,Test,Dubai,171,83,206.02,4,8.82,Team C,98.57,Team C,2.7,Twitter,29321,4150,1542,-0.33
Player 6,Team E,ODI,Cape Town,44,77,57.14,0,6.99,Team B,58.09,Team B,4.42,Facebook,48055,2016,590,-0.22
Player 71,Team A,Test,Sydney,49,78,62.82,5,9.56,Team E,73.8,Team A,3.1,YouTube,40215,874,1890,-0.71
Player 39,Team A,ODI,Cape Town,195,146,133.56,1,5.11,Team E,57.51,Team D,1.63,YouTube,9251,851,94,-0.29
Player 21,Team B,ODI,Dubai,142,143,99.3,1,8.74,Team A,75.13,Team D,3.93,Twitter,18076,2424,347,0.01
Player 62,Team B,ODI,Dubai,173,86,201.16,1,9.74,Team C,90.54,Team C,3.81,Twitter,16643,1972,540,-0.69
Player 100,Team D,T20,Mumbai,49,139,35.25,5,5.32,Team C,55.35,Team C,3.03,YouTube,1515,3090,1435,-0.46
Player 98,Team B,T20,Cape Town,34,142,23.94,0,5.9,Team B,96.4,Team B,3.71,YouTube,3722,2948,1170,0.26
Player 93,Team A,ODI,Dubai,160,14,1142.86,2,6.48,Team D,76.58,Team D,4.49,Facebook,41716,4861,1504,0.23
Player 90,Team B,Test,Dubai,20,106,18.87,0,6.82,Team D,77.6,Team D,3.35,YouTube,44487,2524,238,0.38
Player 41,Team D,ODI,London,74,124,59.68,4,8.98,Team D,76.96,Team A,4.48,Twitter,29224,3846,671,0.84
Player 32,Team C,ODI,Sydney,197,59,333.9,0,4.71,Team C,84.09,Team E,2.1,Facebook,11024,3340,474,-0.17
Player 51,Team C,T20,London,166,90,184.44,2,5.95,Team D,50.03,Team A,2.0,Instagram,42360,192,568,0.56
Player 81,Team C,ODI,Mumbai,129,123,104.88,3,8.96,Team D,64.02,Team E,2.22,Facebook,7289,4644,1541,-0.52
Player 46,Team D,ODI,Mumbai,90,18,500.0,4,4.92,Team E,92.51,Team D,4.76,Facebook,43818,1167,1496,0.01
Player 51,Team B,ODI,Mumbai,152,126,120.63,2,8.98,Team A,93.69,Team B,2.75,Instagram,7730,3828,146,-0.0
Player 6,Team A,Test,Sydney,203,40,507.5,1,5.5,Team B,71.59,Team A,2.5,Instagram,41214,2773,1196,0.54
Player 87,Team D,T20,Cape Town,150,64,234.38,4,9.5,Team A,53.44,Team C,3.99,Facebook,34710,2048,356,-0.13
Player 14,Team E,Test,Sydney,159,97,163.92,0,9.54,Team B,92.6,Team B,1.59,YouTube,17696,1019,1489,0.24
Player 1,Team B,T20,Cape Town,119,46,258.7,3,4.97,Team C,63.66,Team B,4.32,Instagram,33587,4152,1837,0.2
Player 80,Team E,Test,Sydney,313,37,845.95,3,8.69,Team B,77.62,Team E,2.72,Twitter,38095,1335,1440,-0.56
Player 45,Team A,T20,London,76,112,67.86,3,6.86,Team A,77.57,Team E,3.3,Twitter,18128,4944,417,0.73
Player 41,Team A,T20,Dubai,167,1,16700.0,5,9.16,Team B,50.26,Team D,3.13,Twitter,48933,3943,607,0.61
Player 12,Team E,Test,Mumbai,35,55,63.64,3,6.55,Team D,82.05,Team B,1.51,YouTube,10747,1423,274,0.64
Player 1,Team E,Test,London,368,34,1082.35,4,5.63,Team C,76.71,Team C,4.84,YouTube,49222,2948,1286,-0.64
Player 47,Team C,T20,Sydney,168,25,672.0,5,6.77,Team B,96.37,Team E,4.67,Instagram,29189,3768,455,-0.43
Player 67,Team B,Test,Dubai,31,11,281.82,4,5.68,Team A,91.56,Team D,4.09,YouTube,33204,2545,1899,-0.07
Player 39,Team C,ODI,Cape Town,140,9,1555.56,3,8.06,Team A,74.77,Team B,3.22,YouTube,18862,4040,891,0.34
Player 86,Team C,T20,Sydney,37,142,26.06,2,9.82,Team B,56.4,Team C,4.72,YouTube,8687,2366,1906,0.61
Player 69,Team D,ODI,London,54,102,52.94,5,5.76,Team B,82.75,Team B,3.06,Instagram,30412,190,1062,0.09
Player 92,Team C,Test,London,99,113,87.61,3,7.75,Team A,53.08,Team C,2.33,Twitter,38805,1872,1755,-0.77
Player 1,Team B,T20,Dubai,19,79,24.05,1,6.16,Team C,61.54,Team C,2.58,Facebook,8993,856,1372,0.94
Player 64,Team C,Test,Sydney,211,94,224.47,4,5.03,Team C,84.12,Team C,3.22,Facebook,22487,4927,1539,0.01
Player 58,Team E,Test,Dubai,49,109,44.95,1,9.98,Team E,92.45,Team D,3.36,Instagram,19749,250,996,-0.21
Player 60,Team C,T20,Sydney,6,34,17.65,0,6.45,Team C,54.8,Team A,4.89,YouTube,7882,2617,1935,-0.06
Player 71,Team E,ODI,Sydney,58,5,1160.0,1,4.86,Team C,56.56,Team D,1.75,YouTube,22830,3668,278,0.76
Player 61,Team D,ODI,Sydney,70,70,100.0,3,9.38,Team E,71.72,Team B,3.52,YouTube,3631,2634,914,-0.01
Player 60,Team C,ODI,Mumbai,21,40,52.5,2,7.59,Team B,85.56,Team A,4.45,YouTube,2697,2158,1942,0.49
Player 44,Team B,Test,Sydney,355,136,261.03,4,5.15,Team B,69.95,Team E,3.9,Instagram,44177,2550,250,-0.37
Player 36,Team B,ODI,Cape Town,52,80,65.0,4,9.5,Team D,58.08,Team D,2.18,Twitter,29628,4888,914,-0.31
Player 100,Team D,ODI,Mumbai,160,62,258.06,2,5.79,Team D,90.1,Team E,3.81,Twitter,39044,726,727,-0.38
Player 18,Team D,Test,Cape Town,209,78,267.95,4,7.59,Team D,87.58,Team A,2.04,Instagram,41333,131,759,-0.83
Player 18,Team E,Test,Mumbai,93,25,372.0,4,5.28,Team C,87.44,Team E,4.12,YouTube,13569,414,940,0.73
Player 38,Team B,Test,London,399,13,3069.23,5,7.63,Team A,97.53,Team C,1.62,Instagram,40175,4609,1070,-0.28
Player 40,Team A,ODI,Mumbai,105,103,101.94,5,7.14,Team C,61.03,Team C,1.76,Twitter,30020,313,1304,-0.02
Player 99,Team D,Test,Cape Town,106,88,120.45,2,6.58,Team B,87.02,Team B,4.19,Facebook,26922,2234,510,0.47
Player 53,Team A,T20,Cape Town,20,29,68.97,1,4.6,Team C,96.19,Team E,3.17,Twitter,4697,2074,339,0.12
Player 45,Team C,ODI,Sydney,92,95,96.84,4,5.45,Team B,94.18,Team D,3.51,Instagram,42052,1959,516,0.22
Player 99,Team D,ODI,Mumbai,15,34,44.12,1,3.43,Team B,91.66,Team E,4.08,Twitter,44813,3664,1150,0.45
Player 56,Team A,T20,London,77,36,213.89,2,9.96,Team A,70.1,Team C,4.44,Facebook,40637,548,92,-0.28
Player 30,Team B,T20,Mumbai,79,38,207.89,4,3.17,Team D,63.28,Team A,1.68,YouTube,37393,2523,1225,0.56
Player 13,Team C,ODI,London,73,134,54.48,0,9.88,Team C,80.09,Team D,3.53,YouTube,31761,150,735,-0.86
Player 74,Team B,ODI,Dubai,161,126,127.78,2,3.45,Team B,75.07,Team C,4.47,YouTube,21578,1403,1312,1.0
Player 40,Team C,Test,Dubai,340,117,290.6,5,3.44,Team A,89.26,Team D,3.06,YouTube,12604,4098,1807,0.86
Player 1,Team C,Test,London,210,15,1400.0,2,3.7,Team D,67.5,Team C,1.95,Twitter,40658,2241,442,-0.21
Player 11,Team D,T20,Cape Town,27,30,90.0,4,4.28,Team D,91.8,Team B,3.11,YouTube,26301,2296,862,-0.69
Player 86,Team D,Test,Dubai,154,119,129.41,2,6.44,Team A,77.54,Team C,1.77,Facebook,31511,921,1929,-0.77
Player 32,Team E,T20,Dubai,184,138,133.33,0,9.35,Team A,61.21,Team C,2.44,Twitter,23791,2564,806,-0.67
Player 39,Team A,T20,Mumbai,168,44,381.82,2,3.68,Team C,83.45,Team C,4.66,Twitter,32821,1828,1572,0.72
